tweets,label
suni mavia ke yaar lanat ho yazeed pe,H
sunil ne apney bhoorey baap ko old age home janey ka keh ker ghar se nikal diya,H
sunni gashtiyon ko koi poochney wala nahi hai,H
supreme court ameer logon ke ghar ka khota hy,H
sushil kumar shinde ne kaha hai ke hindu dehshatgardon ko RSS ke camps mein training di ja rahi hai,H
Susti aur kamchori kaalon k khoon mein shamil hai,H
"Suwar ka pisab peene wale sutiye, Apni Aurato aur Gadho ko china main bechne walon. Agar China ne tumhari aurato aur gadho ko lene se mana kar diya naa to bhookhe maroge.",H
"Suwar ka pisab peene wale sutiye, Apni Aurato aur Gadho ko china main bechne walon. Agar China ne tumhari aurato aur gadho ko lene se mana kar diya naa to bhookhe Yaa Fir suwar Khana padega.maroge.",H
suwar ke bacho phir haar ke aa gaye ho,H
Swaiay tayyab urdgan k tmam muslim leader ....kia likhoon,H
"swat mein school band honay per malala ne puri dunya mein pakistan ke khilaf bakwas ki thi, 2 haftey se kashmir mein school band hein to ab kahan mar gai hai wo?",H
sweden ma khoti k bachy rehty hain,H
"switzerland ""modi dehshat gard"" ke naaron se goonj utha",H
sydney mein namaloon shakhs ka masjid per hamla,H
"syed ali gillani ka kehna hai ke bharat kashmir nahi, kashmir ki sarzameen chahtah hai",H
syed ali gillani ne kaha hai ke bharti qabzey se mukammal azadi tak  jaddojehad jari rakhna hogi,H
Syrians ghar jao aur maro,H
Syrians ghar jao aur maro tum paida hee marny k liy hoe ho,H
ta tokhe ker acting karar laye payo chawey  tu rugo mike khari bheeja  yaan video khadja,H
taaliyan bajti rehni chahiyen behn ke loro,H
taaqat ke zor par hukoomat haasil karne walay taliban kisi soorat Afghan awam ka numaenda nahi ho sakta .,H
tabdeeli ke buland o bang dawey kernay waley hukmaran koi eik bhi waada pura nahi ker sakey,H
"tabdeeli ke naam per vote lenay wala sari dunya mein islam ke liye lar raha hai, aur islam ke naam per vote lenay wala choron le liye lar raha hai",H
tabdeeli ke naarey per aaney waley october mein khud tabdeel ho jayen gey,H
tabdeeli ki sonami pehlay sharm o haya ko baha ker le gai aur ab lagta hai insaniyat bhi uske nishaney per hai,H
tabdeeli sarkar ne abhi tak police islahaat ke liye eik qadam bhi nahi uthaya,H
tabdeeli virus ne maesheyat aur mulk ko maflooj ker diya hai,H
tableeghi jehad par zor nahi dety tableegh pe dety hain,H
tableeghi jehad pe nahi jatay,H
tableegi jihad se inkari hain,H
Tag krny waly ko goli mar do ,H
Tahir Shah ki awaz phatty huay horn jesi hai ,H
tajiron per tax chori kernay ki wajah se NAB ka khof taari hai,H
"takleef pohunchey gi inhen, main pohunchaon ga inko takleef, main inhen rulaon ga",H
talal chaudhary ka kehna tha k kal sarakri tarjumaan ne makeup ke sath zalzalah zadgaan ki tazleel ki hai,H
Taleban ko ka bhi mannata nahin milega yah Bharat hai Pakistan nahin,H
talent group of companies ki taraf se chootar seith ka award milna hai tujhey,H
Taliban ab qamyabi ki taraf hi jaeingy tum indians apna moon band rakho ab kashmir fatah hogaa bohoot zulam kar liya tumny kashmir.p,H
Taliban in ko mouh he ne lgaty yah asy chlana ry han,H
taliban jesay gaandu dunya bhar main nahi miltay,H
taliban khan ab ttp ke deshat gardo ko muaf karny jaraha hy,H
taliban khan apko sharam ana chahiy TTP se muzakarat se pehly army ke un no jawano ka khoon APS ke bacho ka khoon or dhamakon me shaheed hony walo ka soch lo,H
"taliban Khan form mein wapas aa rahay hain. muashray se khawateen ka khtama, hazaron ki nasli safai, sareaam phansi aur tashadud, woh sab kuch hai .",H
taliban Khan ko Afghanistan ka bohat junoon hai. un ke inkaar ki hikmat e amli ne ab tak bayaniya ko control karne mein kaam kya hai. lekin halaat badal rahay hain aur isi terhan Pakistan khail raha hai .kash Pakistani jantay ke bain al aqwami baradri ab un ke jhoot par yaqeen nahi karti,H
taliban khan yahoodio ka agent or dehshat gardo ka leader hy,H
taliban khud jahel hain wo kesay chahin gay k koi par likh kar agay barhy,H
taliban ko baat karne ke liye New York mein aqwam mutahidda mein numaindagi ki zaroorat nahi hai .Imran ' taliban' Khan aur Shah Mahmood Qureshi pehlay hi hi,H
taliban ko kab bech rahay ho haramio,H
"Taliban koi badi fauj nahi hai,aur Pakistan 4 baar India see Haar (lose) kiya hai.Fighting ke liye paise chahiye,khana khanee ke liye Gulf countries se loan letee ho aur baat kar rahe ho Jungle ki",H
taliban ne amreeki kutto ki maa chod k rakhi hui hai 20 saalon se,H
taliban ne saabit kya ke jo log usay taliban Khan kehte thay woh har waqt theek thay. ab woh Pakistan mein taliban ke dafatir kholnay ki apni darina khwahish poori kere ga kyunkay tea tea pi ne Pakistanio ko nishana banana jari rakha sun-hwa hai .,H
Taliban tumari ma'a chody GE pehly,H
"tamam habshi dehshat gard hein, inhen wapis apne gharon ko bhejo",H
"tamam musalmanon ko hindustan se nikal dena chahiye, ye sirf hindoun k rehnay k liye banaya gaya hai",H
tamam sarkari hukkaam chor hain,H
tameez se bat nahi kerni to yahan se dafa ho jao,H
taqreeban dunia k sab mulko k khilarion ne newzealand kee mukhalfat kee hymagar bangalio ko sanp sungha hy phir kety hain hum azad hain,H
tareef us khuda ki jis ne jahan banaya aur mujhe mard bana ke hijra tujhe banaya,H
tareekh gawah rahey gi ke hindu zalim thy,H
"tareekh mein jitni bongiyan hamarey wazeer e azam ne maaren, utni kisi ne nahi maaren",H
tareekh ne dekha ke khud ko qanoon se baalater samajhney waley arbon ki corruption per jail ki salakhon ke peechey hein,H
Tari ma ko lun gashti all indian Hindiou are son of bitch,H
tari maa ke chot,H
tari wo gashti dogi style wali bevi kidhar hai,H
tashaddud ke baad mein zehni tor per bohut zayadah pareshan aur khofzadah hun,H
tashaddud kernay waley khanzeer ko foran nokri se nikal dena chahiye,H
tatti admi teri soch bhi tatti hi hai,H
tatti aur tiktok takreeban same hi hein,H
tatti se yaad aaya teri ammi theek hai halala ki aulaad,H
tawaefon se shadi nahi kee jati un pe mazay liay jaten hain,H
tawaifon k sar e aam fehashi phelany ki wajah se Nigeria mein AIDS k cases mein izafa ho raha hai,H
tawaifon ke shehar mein dakhley per pabandi honi chahiye,H
tax mein bepanah izafey ki wajah se auto industry tabah ho rahi hai,H
tax wapis na liye gaye to hakumat ke khilaf agley mahiney se ehtijaj ka silsila purey mulk mein shuru kiya jaye ga,H
tea is fantastic yahi kafi hy India k liy,H
Teara koi kasor nahi teary khon mean partisan ky wakt kisi angrez ka khon mix ho gia ha esi liay pher gulami chaty ho,H
"tehreek e insaf ka asal chehra samney layen gey, qoum ko bhi pata chalna chahiye asal chor kon hai",H
Tehreek e insaf ki hakumat ne qoumi choron ko unke asal muqam jail mein pohunchaya hai,H
tehreek e insaf ne confusion ke record tor diye hein,H
tehreek e insaf ne itna badnaam kiya hai molana fazal ur rehman ko keh ab log unko unke asli naam se nahi bulatey,H
tehreek e insaf ne parliament ka bera gharq ker diya hai,H
"Tehrek-e-ilzam(PTI) sicial media jhoot phela rahe hai. 35 punctures pa unke videos, posts dekh lo. Bad ma Jahel-e-ala(IK) ne kaha wo seyasi beyan ta. Unko serious na lo. Jis din boots peachy se hat gye sare Tehrek-e-ilzam(PTI) khtam ho jaegi",H
telangana mein musalmanon ke darjanon ghar nazar e aatish ker diye gaye,H
Tera b fitay. Kunjar,H
tera baap terrorist hai,H
tera baap to mjhey tera hamsaya lagta hai,H
tera baap to teri maa ke yaar modi ko ghar bulata hai,H
tera chutiyapa meri samajh se bahir hai,H
tera elaqa juwey ke addon se bhara para hai,H
tera ghar nahi randi khana hai,H
tera lun chota hony ki wajah se tjhe chotu kehty hein kya?,H
tera lund nach khatam ho gya hai to ab kam per focus ker le,H
tera moun tor dun ga agar ab kuch bola to,H
tera peyo hun main kutia,H
tera to khana kharab ho ghatia aurat,H
tera woh programme jo tum ne Zubair Umar ke sath hotel aawari kya he jald manzar aam par anay wala he zara sabr karo tairay kartoot bhi duniya jaan chuki he. Chutia orat,H
teray bachey future mein teri tiktok ki id dekhen gey to sochen gey ke hamarey papa kitney barey gandu thay,H
teray bachon ne sochna hai ke papa kitney chootar aadmi thay,H
teray jesay kanjar ko ghar se nikal dena chahiye,H
"teray jesay kuttey sirf bhonk saktey hein, ker kuch nahi saktey",H
"teray jesi ghatia aurat ke mun se ye bat achi ni lagti, logon ko garam karnay wali machine",H
teray jesi kutia sirf ghar ujaar hi sakti hai,H
teray jesi kutti aurat se Allah sab ko bachaye,H
teray kehny pe main maa baap kou chor dun? teri is he baat pe teri maa na chod doun,H
teray khoon mein beghairti ki miqdaar bohut zayada hai,H
teray moun mein mera lora,H
"teray moun se ye baten achi nahi lagten, tu to khud ooper se neechay tak keechar mein lat pat hai",H
Tere jaise dallal toh nhi na MC,H
Tere ma behn aek kar de pak Army ne,H
Tere paida hone per lanat,H
tere pakistan ki to maa ko sare world ne choda bhenchod india ke bache chup,H
Tere se wada tharki kahi dekha nai kia karun ,H
terey jesa harami dost rakhney se acha hai banda kutta paal le,H
teri 2 takey ki aukat nai hai aur baten kitni bari bari ker raha hai,H
teri aaukat to randiyo se bhi gai guzri hai,H
teri ama ko qabar se nikal k uske bund marni ha ma ne,H
Teri ami aur baji ki phuddi kitny arab ki ????,H
teri aur tary harami shaikh rasheed ki ma ki choot main pury pakistan ka lun,H
teri baap foj main hota hai to peechay se teri maa to moj mai hoti hogi,H
teri behn ki choot saleya,H
teri behn nu lun diya ha afghnista me,H
teri behnen bhi bund denay ka karobar kerti hain kia?,H
teri behnen to kehti hain k jisam faroshi ki tamanna ab hamarey dil main hai,H
teri bhabi k pchy pta ni kya kya keh ry h,H
teri bhen dy phuddy vich corona virus paa dena ae,H
Teri bhen ka khasam ha ducky gandu,H
teri bhen ko chodne wale hain ye sab,H
teri biwi ne kitchen se chimta la ker teri gand mein de dena hai,H
teri bnda gaand b maaray or paise b na de,H
teri bund ki photo kheench li usne,H
teri chachi to tawaif hai salay,H
teri chawwalon ki wajah se hamein sab ke samney sharmindagi uthani pari,H
teri film ka naam hona chahiye chulbulay tattey,H
teri gaand mai mirchi lagi to main kia karun,H
teri influencing ke to loray lagey huay hein,H
teri itni auqat nai k tu us ko roast kare,H
teri jeson ki bajiyan tights pehn kar sary aam goomti hain....tab tery andar ka Tariq Jameel kion ni jagta,H
teri kia maa mar gai hai jo aisey mu bna ker betha hai,H
teri kya maa chod di indians ne bhadwi quom ki gandi nasal,H
teri ma ki choot maru dalle no de apna tera ma chodne aata hu me madrchod randi ke,H
teri maa afghaniyon se bun kyun marati thi?,H
teri maa behan pakri gayi thi inky sath,H
teri maa behn 1 krdain gy,H
teri maa bhi randi aur tu bhi randi,H
teri maa k customers mein izafa ho gya hai kia?,H
teri maa ka pait to aisy nikla hua hai jesy jesy mohally k sary bachon ki ammi wohi hn,H
teri maa ka yar hu bhainchod tamiz kar,H
teri maa ki choot 4 baar,H
teri maa ki choot maru bosdike,H
teri maa ki kuss bharwey ye kiya bakwas ki hai tu ne,H
teri maa ki phuddi maru,H
teri maa ki siri,H
teri main bund maron gashtiye,H
Teri pen nu Lan kesi gasti ky bachay bakwas band kar bagert,H
teri phuddi bohut chikni hai,H
teri phuddi ka sara mohalla devana hai,H
teri phudi b mari hy imran ne,H
teri phudi kyun patakhy maar rahi hai aaj?,H
teri shakal achi nahi to kam az kam baat to achi ker liya ker,H
teri shakal dekhtey hi laanat bheney ko dil kerta hai,H
teri to pedaish hi us waqt ki hai jab tera bap 5 saal k liey mulk se bahir geya hua tha,H
Tery jasy ducky ka tata saf karty hain bsdk,H
tery nipple bary hn aur lulli choti hai,H
tery papa bary hi bhenchod hein,H
Texas ki larkiyan hawas ka shikar hoti hein,H
Tharki kb bola me ttmko :o,H
Tharki larky college k bahir larkiyon ko tung kr rhy thy,H
Tharkio ka sardaar ,H
tharparkar ki halat zindah hai bhutto kehney walon ke moun per zordaar tamanchah hai,H
thats called Jahalat agar aesi hi chlta raha to ak din Pakistan khtm hojae ga wo bh in Panjabi jahilo ki wjHa sa,H
"Theak hai Dar sahab, app kehta hain tu man laita hain ",H
theek karta tha rao anwer un dasthgardo kay stah rao anwar nay 100/200 qatal kiye hogy lekin un dehshadgardo nay hazaro pakistanio ko shaheed kia hen our un deshadgardo ko panah b jis nay di hen usko b sar e aamPan si deni chaye balkay aulta latk..... Ana chaye,H
Their Kalboshan jadave is with us enjoying green tea and Kabul's serena hotel has 5 floors,H
thek se chal to le polio k mareez,H
There should be a free cup of tea & autograph of Abhinandan with each sold unit,H
Thook lga k chod dia bhai ne tou is ko,H
tiktok bhi kisi tatti se kam nahi hai,H
tiktok k bondi sastay rates mai dasteyab hain,H
tiktok k khusray apni nasal nahi barha saktey,H
tiktok k khusron ki bund maro to aagy se paisy mangtay hain,H
tiktok k khusron ko koi mou nahi lagata,H
tiktok ke bhosriwalo kuch sensible hota hai tumhari zindagi mein ya sabhi illogical hai,H
tiktok pe koi gandy tera moun bana ke chal raha hai aur koi baba g sialkot bol raha hai,H
tiktok walay londay mard nahi rehtay,H
tiktok waley khusron se tumhara koi muqabla nai bhai,H
tiktoker ke liye road pe chutiyon ki tarah chal ke do dialogue bolna trend kehlata hai,H
tiktoker ko to dekhtay hi goli maar deni chahiey,H
tiktokers ki mujra ker ker k bund bari ho rahi hai,H
tjhy mery lorey ki sawari ka itna shoq kyun hy?,H
tjhy msg kia tha me ne manhoos aurat tb zrurat thi ab ni hai,H
tjy lun choosny ka bara shoq hai gandu,H
tjy marna hai kia bhosrike,H
tm bhi kisi polio virus ki pedaish se km nahi lgty,H
Tm ne jawan bachi ko bheja Q..beghert,H
"Tm raashi ho, paisey khaa ke kaam kartey ho",H
Tmam comment parhny k baad m ny yeh nteeja nikala k umer shareef ko bahir ly jany ki bajay idhr zehr ka injectiin lga k is k khtm py lakh 2 lakh hakoomet lga dy....3 shadian is ny q kein tb khrchy poory thy ub km hain wah,H
Tme per lant beshmr,H
tmhy isliye tag kia kyu k is k end pe likha tha k 3 therkiis ko tag kren :D,H
tmri apni kya pehchan hai? FzOol zuban chilana bs? Kch achieve kr lO life mn phr bk bk krna..,H
To per diesel bana dy,H
To phudi k is tara tu gand marwany social media pr aaya ha,H
to teri bhen k mummy choty hain to tu sarr to na ab,H
to tjhy e kaha hai na lub ju,H
to Twitter par betha kya kar raha. . ja ja ke aps walon ka badla le jaldi ja. .. agar nahi ja sakta to apni bakwaas band rakh. .,H
toh kisi khoti k bchy carona k symptom after 7 to 8 days bad e samny aty hein,H
Toh phir Karachi se mangwaenge qk Lahore meto yehi milenge khote,H
toheen amez khakon ke zariye islam per hamley jari hein,H
Toob ka maru barway,H
toor baz khan kutty k bacha tum ho,H
Topi dram party >,H
"Tou bhi cutting kara lay, us ki yadon ma malang banta ja rha ha",H
tou or kia apko jokers ka deputy commisioner laga day,H
Tou yeh sala konsa mazdoor hai iskay pass itna pesa kahan sey ata hai isnay khud mana iskay london mai flats hain lekin phasa nawaz shareef yeh side sey nikal gaya or kisnay kaha ke yeh sahi banayega metro bus itni hi achi banayega tou pehlay jangla bus kyun kehta raha yeh nafsiyati or tumhara konsa bhai hai jo tumhay pata hai ke itni achi hukumat karay ga or na tum bilawal ko janti ho jo prediction kar rahi ho ke kuch nahi karay ga . ,H
trial court judgon ki tabdeeli ka mashkook tareeqahkaar azad adliya per badtareen hamlah hai,H
Trump bewakoof hai,H
"trump bhi bara gandu ka bacha tha, sb mexicans ki maa chod gaya",H
trump eik dehshatgard hai,H
Trump eik safeed faam qoum parast hai jo dehshat gardi ko ubhaar raha hai,H
trump gashti ke bachey ko ghar mein ghus ker maren gey,H
"trump ka kehna hai ke taliban se muzakraat murdah ho chukey hein, 4 roz mein dushman ko 10 saal se zayadah nuqsan pohunchaya hai",H
trump ke khatab se wazeah ho gaya ke woh musalmaanon se nafrat aur taasub ka shikar hein,H
trump ki kutton wali ho rahi hai aaj kal,H
trump ki maa chod deni chahiye aisi harkat kernay per,H
trump kunjari ka bacha na hota to achy kaam ker ke naam banata,H
Trump ne aaj tk bhonkny k elawa kiya hi kia hai,H
trump ne bush ko ahmeq qarar de diya,H
"trump ne ilzam lagaya hai ke china ne amreeka se paisa kamaya aur churaya, hum china se tijaarat mein arbon dollar zaya ker chukey hein",H
trump ne iraq ko pabandiyon ki dhamki de di,H
trump ne michelle obama ke barey mein nasal parastanah jumley kahey,H
Trump ne Venezuela per nai muashi pabandiyan laga di hein,H
trump ne white house tak pohunchney ke liye muhajiron se nafrat aur putin ka sahara liya,H
trump pakistan aur bharat donon ko dhoka de raha hai,H
trump safed faam baladasti ki aag bharka rahey hein,H
ttp ke dehshat gardu se aps ke shuhada ka badla zaroor lia jae,H
TTP ke hamayatio or PTm walo jis thali me khaee waha surakh kia ghaddaro,H
TTP ne aps me khoon ka khel khela ab in ko muafi nahi honeey chahiy inko kutty ke mout chun chun kar marna  chahiy ,H
TTP terrorist group hy na keh taliban,H
ttp_zenda_bad,H
tu aadmi hai k chootya hai,H
tu abi tk lun choopu hi hai,H
tu aesa na kr bhai #Physical mat ho :D,H
tu apna mou apni dhoi meh ly or soja,H
tu apni baji ki chest ko bhi itny hi ghor se dekhta hai?,H
tu asli madarchod hai abhishek singh,H
tu aur tera dost mery lun k neechy latky achy lago gy,H
Tu b to ducky ko bhen pesh kr rha he gando,H
tu baba dalla bangali hai,H
tu banda nahi hijra hai bc,H
tu bara kutta insan hai,H
tu bary thumky laga raha hai kisi nachnay wali k bachay,H
tu bas phuddi ka mureed hai,H
tu bhi to andh bhakt ha be akl ke dushman gobr khaame wale,H
tu bholy ko baji pesh na kr,H
tu bohut gandu banda hai,H
Tu bta day,H
tu chachi ki mummay choos aur apni peyas bhujany k sath uski bhi bhuja de,H
tu choot na mara mery samny,H
tu chutiya tera pio vi chutiya tera rishtadar vi chutiya,H
tu cute nahi chudi hui machli lag raha hai,H
tu do kori ki randi hai,H
tu fake khusri hai,H
tu hai hi kisi randi ka bacha,H
Tu he hai itna thatki sirf ,H
Tu hogi bachi,H
Tu hy tharki bc abi batein yaad dilau,H
Tu imran ki aulad hai kya be,H
Tu jb paida hui tou doctor ne kaha tha pata nai kia paida ho gaya hai,H
tu jphar aa teri maa chod dein gey,H
tu kal bhi madarchod tha aur tu aaj bhi madarchod hai,H
tu kanjari hai basera ker lun ke paharon per,H
tu kanjarpaney se baaz na aaya to tery sath bhi yehi kutton wali hogi,H
tu karaye ka dalla hai,H
tu kch zyada hi faltu bhonkta hai,H
tu khud ko bachi samajhti hy saali,H
tu kitna b try kr le ducky bhai jsea roast nai kr skta bharwy,H
"tu kitna bhi attitude dikha le, tu tatton ki tarah lund ke neechay hi rahey ga",H
tu kutta hi rahey ga,H
tu kutta tha aur kutta hi rahey ga,H
Tu lant imran khan,H
tu larki nahi gashti hai aur rahey gi,H
tu maanay ya na maanay tera peyo chawal hai,H
tu madarchod hai hi randi,H
tu madarchod kya help karega meri,H
tu mera dost nahi mera kutta hai,H
tu mera lulla choop le,H
tu mera putt chutti ni tatti kar,H
tu meray level ka banda hi nahi hai shoreya,H
Tu merey level da admi hi nae hai shoreya,H
tu meri taraf se jahannum mai b chala ja to mery lun ko thand hai,H
tu mery dil mein nahi lun mein basti hai,H
tu mery lun pe beth gandu,H
tu modi ke gand hi chaat saale,H
"tu mujhe hath to laga ke dikha, teri maa ki siri",H
tu muslim nahi ho sakti kanjar logo kee base,H
tu ne ager kal tak meray paisey wapis nah kiye to teray sath bohut bura hoga,H
tu ne cheekhen maar maar ker sara ghar ser pe uthaya huwa hai,H
tu ne jitna bhi kameenapan dikhana hai dikha le,H
"tu ne jitna pakistan ko badnaam kia, kya wo kafi nahi hai hai?",H
tu ne mera naam dabo dia hai kanjar,H
tu ne meray saray paisay barbad ker diye behnchod,H
tu ne meri madad na ki to main ne teri bund maar deni hai,H
tu ne meri zindagi dukhon se bhar di hai kutia,H
tu ne mobile ke liye paisy choot marwa ke ikathy kiye hein na?,H
tu ne population barha di hai bhenchod,H
tu ne to kabi zindagi mai such nai bola bhrwe ki nasal,H
tu pashtoonon ke ghar reh ker pashtoonon ko badnaam ker rha hai beghairat,H
tu pedaishi madarchod hai,H
tu sasta roaster nhi sasta gashta or sasta gaanddu ha,H
tu sirf lockdown ki penyakkiyon ki wajah se ghar betha hua hai,H
tu to ahmadi kutta nikla,H
tu to kutty ki mout hi marey ga saley,H
tu to lun ko khilona smjh ke mu mei daal leta hai bc,H
tu to na hi bol biwi ki kamai per palney waley,H
tu to paidaishi gashti hai,H
tu to rehta hi kanjreon k muhaley mei hai,H
Tu undono husband wife ki larai kerva de babluu ,H
tu video dekhta hy mein teri amma ky sath woh asal mein krta hun,H
"tu ye kanjarpan chor de, isi mein teri behteri hai",H
tu ye kuttkhana na b krta to hum ne chalay hi jana tha,H
tujhe dosray ki qurbani hi nazar nahi aati bhencho,H
tujhe duaon ki nahi lund ki zarurat hai gashti,H
Tujhe lauda Mil Gaya,H
Tujhe pata kese chale ga pagle ,H
tujhey gaand pe laat miley gi jawab nahi,H
tujhey mirgi ka dora na lora perna hai,H
tujhy apnay gashti pan ki qasam sara ki video leak kar,H
"tujhy kia takleef hai, uski marzi wo jo marzi pehney",H
tujhy shara ani chahiy musalman ke shadat pe khush hota hy russia kee najaiz olad,H
"tujhy to samne pari hui cheez nazar nahi aati, andha ho gaya hai kiya",H
Tum aik ahsaan faramosh kuttia ho,H
Tum Ali ko toheen krty ho jahil,H
tum apna churail jesa moun le ker yahan se dafa ho jao,H
"tum apna pata karo kis ka gandah khoon ho. lagta hai ke America , India aur Nato ki mushtarqa haraam kaari ka nateeja ho. woh to chalay gaye lekin apna gannd tum jaisay haraam zadon ki shakal mein peechay chore gaye",H
"tum apney kam se kam rakho, beech mein maa na chudao",H
tum apni badsoorti ko photoshop se chupa nahi saktey,H
tum apni gand de do hussain tareen ko,H
tum apni shakal gum karo idher se,H
tum b hosla rakho phir... awein uski tasveeron pe thurki huay way hein saray ,H
tum bakwas aisy ker rahi theen jesay main ne tumhen maar peet ke bithaya ho ye kam kernay,H
tum bharosay ke qabil nahi ho,H
tum bhonko matt aur yahan se dafa ho jao,H
tum bhosriwaly ho aur tumharey baap daada bhi bhosriwaly thay,H
tum bohut fazool kharch larki ho,H
"tum bohut haramzadi ho, ye harkaten chor do",H
tum din badin harami hoty ja rahy ho,H
Tum dono ki behan ko nawaz shreef ny lagta ha thoka hua ha,H
Tum dono lad rhe ho,H
tum donon chalak lomriyan ho,H
tum donon shadi ker lo aur card pe chapwana lora weds lassan,H
"tum eik awaara larkay ho, lagta hai tmharey maa baap ne tumhen tameez nahi sikhai",H
"tum eik badtameez larki ho, kabi bhi kehna nahi manti ho",H
tum eik bewakoof kutia ho,H
Tum eik ehsan faramosh kutia ho,H
tum eik fazul aadmi ho,H
"tum eik intehai nashukri aurat ho, tumhen jo marzi laa do tumharey nakhrey hi khatam nahi hotey",H
tum eik mard nahi ho ager tum har aurat se badtameezi kertay ho,H
tum eik thug ho,H
tum ghaddar ho or modi k yaar ho,H
Tum hamesha dusron pe tanqeed hi kartey rehtey ho,H
tum har waqt sarry huay rehtay ho,H
tum itny namak haram niklo gy mujhy andaza nahi tha,H
tum jesi ghatia aurat ka koi kam hi ni hai media par,H
Tum jesi jaheel chala sakty h,H
tum jesy dhokybaaz se dosti kerna meri zindagi ki sb se bari ghalti thi,H
tum jesy jahil ke sath rehney se acha hai ke main akeli hi rahun,H
tum jesy log hoty hein jin ki wajah se society mein beheyai phelti hai,H
"tum jitney zehreely ho, tum per to zeher bhi asae nahi kary ga",H
"tum jitni moti ho, eik daig to tum akeli khaa jati hogi",H
tum jo poori zindagi double game khail rahay ho munafiqo,H
tum kahan ho kutia? main kb se tumhara intezar ker raha hun itni shadeed garmi mein,H
"tum kal se kahan marey huay ho, eik kam nahi kiya tum ne kal se",H
Tum kanjar ho iqrar,H
Tum khabees nahi kutti aurat ho,H
"tum khawateen per zulm kertay ho, tum beghairat ho",H
tum kidher mar gaye ho? foran se idher pohuncho werna tumhari khair nahi,H
tum ko bc mohabbat ka ni pta,H
tum log bhee chutia hochod k chaly gae aab uss ne khamoshi thori ess ne khamoshi tori bakwas bakh rahy o saray pakistani,H
Tum log cow ka gobar kha k mutar pee k jeety ho is liye abhi tak hosh nahi Aaya ..,H
Tum log koun say sudray huyaa ho kutun ko falow karnay walay,H
tum logon ko eid k chand se kya tum log konsa roze rakhte ho bas bakwas karne aa jate ho us ki naswar band kr k Ap k tashreef mai dya jaye,H
tum logon ko samjnye ka koi faida nahe jetna phr sheer nye he hai hum behas nahe kartye.....,H
Tum logon ko warning ho chukki ha Tumhari Army kay log kashmir kay border sy bahg jatey hen jab Mujahideen Ate hein Dakhna tum logon ka sath hota kiya ha ....jab Mujahideen rat ko tumhare morchoon mein ghoos kar tumhare army kay khilony jin ko khana bhiii nhiii milta un ka saroon ko kat kar ley aty hein tab roty hein apnii army Sy pochoo na mujahdeen kiya karte hein phir shalwar gili hojati ha....bs thorra sa wait karo abhiii ham isi waly tumhary foj ko nanga na kiya to kehna....bs wait kro phir mein dakhoon ga tum kiya kro gy bandar kiii olad....,H
tum logon ko ye hi nhi PTA keh Faisal mosque kis city me hy aur apne ap ko Pakistani bolte ho.jahil logon ye apni city Multan Hy ,H
tum ma or sulamani topa ma koe farq nhi,H
Tum manhoos ho jahan jatey ho wahin museebaten aa jati hein,H
tum mard salay eik number k kuttey hotay ho,H
tum mera lund jantay ho haram zady tum taliban Khan taliban ke haami ho aur ab 1 laakh Pakistani ke qatilon ko maaf karne ke chakron mein ho aik baat kaan khol kar sun lo taliban Afghanistan ka ho ya Pakistan ka taliban dono aik hain yeh sab under se miley hue hain awam ko chootia banana band karo aaj bhi Waziristan mein 4 fouji shaheed hogaye hain tum un ????????? ki himayat mein lagey hue ho be ghairat,H
tum modi ke yaar ho tum chor ho tum lanati ho ,H
tum mukammal ahmeq ho gaye ho,H
Tum ne mera facebook account hack kr ke insani haqooq ki khilaf warzi ki hai,H
tum ne meray jazbaat ko majrooh kiya hai,H
tum ne mjy abi tk khana kyun nai diya kutia,H
tum ne mujh per chori ka ghalt ilzam lagaya hai,H
"tum ne mujhe dhoka diya hai, main tumhen nahi chorun ga",H
"tum ne mujhe pyar nahi kia, dhoka diya hai",H
tum ne nabeena shakhs se paisy chura ker acha nahi kiya,H
Tum ne uska dil tora hai tumhen uski aah lagey gi,H
tum ne ye ghatiya harkat dobara ki to moun torr doun ga,H
tum paida hirami ho apny baap ko check karo wo punjabi tha,H
tum Pakistan ke log o bhi jhoot bolane ke liye baki to chhodo 1971 k result Pakistan se Bangladesh ban gay,H
Tum par 1000000000 bar lanat.ho harami khuwaja sary,H
tum pTI walay ye he kahtye bcz PTI jo nahe jeet te na,H
tum qatil ho tum kanjar ho tum jhotay ho,H
tum RAW k agent ho kameenay,H
tum sab apni bakwas band karo aur meri baat ghor se suno,H
tum sab habshi ho,H
Tum sabar karo Pakistan sary badly la ga bas gazwa e hindi ka intazar karo,H
Tum se kam hu acha beghairto aur kya huwa uska is post pr cmnt krna ban to nhi ha....waise time to......itni bari,H
tum se reayat mangta kon hai bhikari aadmi,H
tum sirf bharwe ho,H
tum teen bharwy nangay ghoomty rehty ho,H
Tum toh bary gandu nikly hamari areeka ko bura mat kaho,H
tum zayada der tak logon ko andha behra nahi rakh saktey,H
tum zehni mareez ho,H
tumari baat bata rahi tum ya kissi qadiyani khanzeer ya yahoodi k bachy ho,H
Tumhara chehra gadhey se milta hai,H
tumhara lun kaat ke tumhen tiktoker bana dun ga,H
tumhara or asad ka larai :V class me XD,H
"tumhara rishtah khatam hua hai, zindagi nahi. Rona dhona band kro kutia",H
tumhare gand me danda dal k muh se nikal denge mc deshdrohi kahi ka bhag suar pakistani,H
Tumhare pyaaray IK ki waat laga di,H
